experiment,graph,skeleton,nodes,hpx_threads,workers,spawn_depth,backtrack_budget,run,timeout,wall_ms,cpu_ms,vc_size,exit_code,log_file
PAR,brock200_4.clq,budget,4,32,124,5,10000000,1,120m,2845,1886,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.ywp.budget.n4.t32.r1.log
PAR,brock200_4.clq,budget,8,32,248,5,10000000,1,120m,2882,1899,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.ywp.budget.n8.t32.r1.log
PAR,brock200_4.clq,stacksteal,1,32,31,5,10000000,1,120m,641,94,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.ywp.stacksteal.n1.t32.r1.log
PAR,brock200_4.clq,stacksteal,2,32,62,5,10000000,1,120m,1046,112,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.ywp.stacksteal.n2.t32.r1.log
PAR,brock200_4.clq,stacksteal,4,32,124,5,10000000,1,120m,1093,131,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.ywp.stacksteal.n4.t32.r1.log
PAR,brock200_4.clq,stacksteal,8,32,248,5,10000000,1,120m,1100,118,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.ywp.stacksteal.n8.t32.r1.log
PAR,C125.9.clq,depthbounded,1,32,31,5,10000000,1,120m,1354,872,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.ywp.depthbounded.n1.t32.r1.log
PAR,C125.9.clq,depthbounded,2,32,62,5,10000000,1,120m,1861,928,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.ywp.depthbounded.n2.t32.r1.log
PAR,C125.9.clq,depthbounded,4,32,124,5,10000000,1,120m,2314,934,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.ywp.depthbounded.n4.t32.r1.log
PAR,C125.9.clq,depthbounded,8,32,248,5,10000000,1,120m,1908,945,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.ywp.depthbounded.n8.t32.r1.log
PAR,C125.9.clq,budget,1,32,31,5,10000000,1,120m,1322,824,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.ywp.budget.n1.t32.r1.log
PAR,C125.9.clq,budget,2,32,62,5,10000000,1,120m,1805,879,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.ywp.budget.n2.t32.r1.log
PAR,C125.9.clq,budget,4,32,124,5,10000000,1,120m,1838,887,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.ywp.budget.n4.t32.r1.log
PAR,C125.9.clq,budget,8,32,248,5,10000000,1,120m,2307,899,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.ywp.budget.n8.t32.r1.log
PAR,C125.9.clq,stacksteal,1,32,31,5,10000000,1,120m,589,60,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.ywp.stacksteal.n1.t32.r1.log
PAR,C125.9.clq,stacksteal,2,32,62,5,10000000,1,120m,996,73,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.ywp.stacksteal.n2.t32.r1.log
PAR,C125.9.clq,stacksteal,4,32,124,5,10000000,1,120m,1034,65,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.ywp.stacksteal.n4.t32.r1.log
PAR,C125.9.clq,stacksteal,8,32,248,5,10000000,1,120m,1058,92,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.ywp.stacksteal.n8.t32.r1.log
PAR,c-fat200-1.clq,depthbounded,1,32,31,5,10000000,1,120m,492,13,188,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-1.clq.ywp.depthbounded.n1.t32.r1.log
PAR,c-fat200-1.clq,depthbounded,2,32,62,5,10000000,1,120m,992,83,188,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-1.clq.ywp.depthbounded.n2.t32.r1.log
PAR,c-fat200-1.clq,depthbounded,4,32,124,5,10000000,1,120m,1020,88,188,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-1.clq.ywp.depthbounded.n4.t32.r1.log
PAR,c-fat200-1.clq,depthbounded,8,32,248,5,10000000,1,120m,1055,102,188,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-1.clq.ywp.depthbounded.n8.t32.r1.log
PAR,c-fat200-1.clq,budget,1,32,31,5,10000000,1,120m,482,7,188,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-1.clq.ywp.budget.n1.t32.r1.log
PAR,c-fat200-1.clq,budget,2,32,62,5,10000000,1,120m,917,30,188,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-1.clq.ywp.budget.n2.t32.r1.log
PAR,c-fat200-1.clq,budget,4,32,124,5,10000000,1,120m,942,36,188,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-1.clq.ywp.budget.n4.t32.r1.log
PAR,c-fat200-1.clq,budget,8,32,248,5,10000000,1,120m,967,49,188,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-1.clq.ywp.budget.n8.t32.r1.log
PAR,c-fat200-1.clq,stacksteal,1,32,31,5,10000000,1,120m,464,8,188,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-1.clq.ywp.stacksteal.n1.t32.r1.log
PAR,c-fat200-1.clq,stacksteal,2,32,62,5,10000000,1,120m,5068,14,188,139,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-1.clq.ywp.stacksteal.n2.t32.r1.log
PAR,c-fat200-1.clq,stacksteal,4,32,124,5,10000000,1,120m,3110,25,188,139,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-1.clq.ywp.stacksteal.n4.t32.r1.log
